Fecha,Tipo,Concepto,Total,Saldo
2026-01-01 09:00:00.000000,Saldo Inicial,Apertura de cuenta,5000.0,5000.0
2026-01-05 10:00:00.000000,Gasto,Alquiler,900.0,4100.0
2026-01-06 11:00:00.000000,Gasto,Supermercado,220.0,3880.0
2026-01-08 09:00:00.000000,Gasto,Transporte,60.0,3820.0
2026-01-15 09:00:00.000000,Nómina,Sueldo enero,1800.0,5620.0
2026-01-20 09:00:00.000000,Gasto,Gimnasio,40.0,5580.0
2026-01-25 18:30:00.000000,Apuestas,B365 - 1,100.0,5480.0
2026-02-01 09:00:00.000000,Gasto,Alquiler,900.0,4580.0
2026-02-06 11:00:00.000000,Gasto,Supermercado,240.0,4340.0
2026-02-08 09:00:00.000000,Gasto,Transporte,60.0,4280.0
2026-02-10 09:00:00.000000,Gasto,Reparación bici,85.0,4195.0
2026-02-15 09:00:00.000000,Nómina,Sueldo febrero,1800.0,5995.0
2026-02-20 09:00:00.000000,Gasto,Gimnasio,40.0,5955.0
2026-02-22 12:00:00.000000,Apuestas,B365 - 2,80.0,5875.0
2026-03-01 09:00:00.000000,Gasto,Alquiler,900.0,4975.0
2026-03-06 11:00:00.000000,Gasto,Supermercado,260.0,4715.0
2026-03-08 09:00:00.000000,Gasto,Transporte,60.0,4655.0
2026-03-12 09:00:00.000000,Devolución,Reparación bici,85.0,4740.0
2026-03-15 09:00:00.000000,Nómina,Sueldo marzo,1800.0,6540.0
2026-03-18 20:00:00.000000,Apuestas_r,B365 - 1,150.0,6690.0
2026-03-20 09:00:00.000000,Gasto,Gimnasio,40.0,6650.0
2026-03-25 09:00:00.000000,Ingreso,Reembolso trabajo,150.0,6800.0
2026-04-01 09:00:00.000000,Gasto,Alquiler,900.0,5900.0
2026-04-06 11:00:00.000000,Gasto,Supermercado,230.0,5670.0
2026-04-08 09:00:00.000000,Gasto,Transporte,60.0,5610.0
2026-04-10 15:00:00.000000,Apuestas_r,B365 - 2,0.0,5610.0
2026-04-15 09:00:00.000000,Nómina,Sueldo abril,1800.0,7410.0
2026-04-20 09:00:00.000000,Gasto,Gimnasio,40.0,7370.0
2026-05-01 09:00:00.000000,Gasto,Alquiler,900.0,6470.0
2026-05-06 11:00:00.000000,Gasto,Supermercado,210.0,6260.0
2026-05-08 09:00:00.000000,Gasto,Transporte,60.0,6200.0
2026-05-15 09:00:00.000000,Nómina,Sueldo mayo,1800.0,8000.0
2026-05-20 09:00:00.000000,Gasto,Gimnasio,40.0,7960.0
2026-05-28 09:00:00.000000,Apuestas,B365 - 3,120.0,7840.0
2026-06-01 09:00:00.000000,Gasto,Alquiler,900.0,6940.0
2026-06-06 11:00:00.000000,Gasto,Supermercado,250.0,6690.0
2026-06-08 09:00:00.000000,Gasto,Transporte,60.0,6630.0
2026-06-15 09:00:00.000000,Nómina,Sueldo junio,1800.0,8430.0
2026-06-20 09:00:00.000000,Gasto,Gimnasio,40.0,8390.0
2026-06-25 10:00:00.000000,Transferencia,A IBKR,400.0,7990.0
2026-07-01 09:00:00.000000,Gasto,Alquiler,900.0,7090.0
2026-07-05 11:00:00.000000,Gasto,Supermercado,130.0,6960.0
2026-07-05 11:00:00.000000,Gasto,Restaurante,45.0,6915.0
2026-07-08 09:00:00.000000,Gasto,Transporte,60.0,6855.0
2026-07-15 09:00:00.000000,Nómina,Sueldo julio,1800.0,8655.0
